Date,Wl,Evaporation,Volume,V2,SurfaceArea,EvapVol,Initial_Conc,C2 (wt%)
2023-02-27,2.769278552,108.42847,655.50984494248,626.88581314718,263.99,28.624031795300002,220.75297441621098,230.83270508817168
2023-02-28,2.814722427,113.1221844,667.50657350373,637.643448043974,263.99,29.863125459756,230.83270508817168,241.6434270573364
2023-03-01,1.785157292,4.685941829,395.71167351508,394.4746317316423,263.99,1.2370417834377099,241.6434270573364,242.40120206215943
2023-03-02,1.78684,9.543829442,396.1558916,393.63641606560645,263.99,2.51947553439358,242.40120206215943,243.95269443729939
2023-03-03,1.766706729,14.65174941,390.84090938871003,386.97299406196413,263.99,3.8679153267459006,243.95269443729939,246.39107742602005
2023-03-04,1.829925302,19.48498048,407.52998047498,402.3861404780648,263.99,5.143839996915201,246.39107742602005,249.54077904705804
2023-03-05,1.753817375,24.52542082,387.43824882624995,380.96378298397815,263.99,6.4744658422718,249.54077904705804,253.78171564617307
2023-03-06,1.757325875,30.89920731,388.36445774125,380.2073760034831,263.99,8.157081737766902,253.78171564617307,259.2264237942275
2023-03-07,1.834939052,37.24334629,408.85356033747996,399.02168935038287,263.99,9.8318709870971,259.2264237942275,265.6137476495816
2023-03-08,1.7876865,42.18694106,396.37935913499996,385.24242856457056,263.99,11.136930570429401,265.6137476495816,273.29234597310233
2023-03-09,1.751770885,47.69720863,386.89799593115,374.3064098249163,263.99,12.5915861062337,273.29234597310233,282.4858409712365
2023-03-10,1.837630323,54.47541286,409.56402896877,395.1830647278586,263.99,14.3809642409114,282.4858409712365,292.765681227976
2023-03-11,1.956826979,60.23756076,441.03075418620995,425.12864052117754,263.99,15.9021136650324,292.765681227976,303.7167033336627
2023-03-12,2.010678167,66.17930318,455.24692930633,437.7762550598418,263.99,17.4706742464882,303.7167033336627,315.8373597782074
2023-03-13,2.101545073,72.25648187,479.23488382127005,460.15989517240877,263.99,19.0749886488613,315.8373597782074,328.9297524787889
2023-03-14,2.194611333,77.74066124,503.80344579867005,483.2806886379225,263.99,20.5227571607476,328.9297524787889,342.89791961597103
2023-03-15,2.177505458,82.35269173,499.28766585742005,477.5473787676174,263.99,21.740287089802703,342.89791961597103,358.50830624228917
2023-03-16,2.296909135,87.29434753,530.8090425486499,507.76420774420524,263.99,23.0448348044447,358.50830624228917,374.77917482138525
2023-03-17,2.378633979,93.06190591,552.38358411621,527.8161715750291,263.99,24.5674125411809,374.77917482138525,392.223419798202
2023-03-18,2.2650015,99.74940635,522.385745985,496.05290020266347,263.99,26.332845782336502,392.223419798202,413.04450323818793
2023-03-19,2.276706771,105.0374067,525.4758204762901,497.74699548155706,263.99,27.728824994733003,413.04450323818793,436.0546647244415
2023-03-20,2.256267052,110.8297389,520.07993905748,490.82199628526905,263.99,29.257942772211003,436.0546647244415,462.04792200023866
2023-03-21,2.394436521,116.6278674,556.5552971787899,525.7667064638639,263.99,30.788590714926002,462.04792200023866,489.10517797756285
2023-03-22,2.490743958,121.2405215,581.97949747242,549.973212201635,263.99,32.006285270785,489.10517797756285,517.569182235335
2023-03-23,2.665924427,125.4122521,628.22538948373,595.117809051851,263.99,33.107580431879,517.569182235335,546.3625792220907
2023-03-24,3.028597563,130.0542877,723.96747065637,689.634439246447,263.99,34.333031409923,546.3625792220907,573.5629081588758
2023-03-25,2.933808302,134.8738842,698.94405364498,663.3386969550221,263.99,35.60535668995799,573.5629081588758,604.3494611262674
2023-03-26,2.872928448,140.114089,682.87238098752,645.88366263241,263.99,36.98871835511,604.3494611262674,638.9595825753129
2023-03-27,2.871090594,145.4943493,682.3872059100601,643.9781526383531,263.99,38.409053271707,638.9595825753129,677.0693112129319
2023-03-28,2.963958948,150.42204,706.90352268252,667.19360834292,263.99,39.709914339600004,677.0693112129319,717.3670059360784
2023-03-29,3.014099667,155.523738,720.14017109133,679.08345949671,263.99,41.056711594620005,717.3670059360784,760.7383027307933
2023-03-30,3.0533605,161.0150808,730.504638395,687.9982672146081,263.99,42.506371180392,760.7383027307933,807.7387476562305
2023-03-31,3.093260604,165.5300495,741.0378668499601,697.3395890824551,263.99,43.698277767505004,807.7387476562305,858.3551083379774
2023-04-01,2.065651896,5.348678676,469.75944402504,468.3474463413628,263.99,1.41199768367724,858.3551083379774,860.9429209420891
2023-04-02,2.0980475,10.0330504,478.311559525,475.662934549904,263.99,2.6486249750960003,860.9429209420891,865.7368932214241
2023-04-03,2.31007476,14.18331217,534.2846358924,530.5403833126418,263.99,3.7442525797583004,865.7368932214241,871.8467723141265
2023-04-04,2.434304958,19.01011917,567.0801658624199,562.0616845027316,263.99,5.0184813596883,871.8467723141265,879.6312324472412
2023-04-05,2.570109094,24.81379636,602.9310997250601,596.3805056239837,263.99,6.550594101076401,879.6312324472412,889.2930290821978
2023-04-06,2.511873427,31.66140249,587.5574659937299,579.1991723503949,263.99,8.3582936433351,889.2930290821978,902.1262177794068
2023-04-07,2.537550958,38.07643573,594.3360774024201,584.2842791340573,263.99,10.051798268362699,902.1262177794068,917.646044476026
2023-04-08,2.616702156,46.2823584,615.23120216244,603.013122368424,263.99,12.218079794016,917.646044476026,936.2391267460022
2023-04-09,2.735472885,53.03067708,646.58548691115,632.5859184688009,263.99,13.9995684423492,936.2391267460022,956.9587528878736
2023-04-10,2.68907524,62.4609162,634.3369726076,617.847915339962,263.99,16.489057267638,956.9587528878736,982.4979629221962
2023-04-11,2.854208802,68.64918792,677.93058163998,659.8078825209792,263.99,18.122699119000803,982.4979629221962,1009.4838711520878
2023-04-12,2.942677938,74.80907206,701.2855488526201,681.5367019195007,263.99,19.748846933119403,1009.4838711520878,1038.7356229604447
2023-04-13,3.044930948,80.27928546,728.27932096252,707.0863923939346,263.99,21.1929285685854,1038.7356229604447,1069.8688056886754
