Date,Evaporation,Volume,V2,SurfaceArea,EvapVol,C2 (wt%)
2024-01-01,5.3144603,399030100.0,399030099.95216984,9,0.0478301427,26.300000003152476
2024-01-02,10.366358,399030100.0,399030099.90670276,9,0.093297222,26.300000006149205
2024-01-03,15.096996,399030100.0,399030099.86412704,9,0.13587296399999998,26.30000000895536
2024-01-04,19.745722,399030100.0,399030099.8222885,9,0.177711498,26.300000011712932
2024-01-05,24.292686,399030100.0,399030099.7813658,9,0.21863417400000001,26.300000014410138
2024-01-06,29.190449,399030100.0,399030099.737286,9,0.262714041,26.300000017315433
2024-01-07,34.117332,399030100.0,399030099.692944,9,0.30705598799999995,26.300000020238006
2024-01-08,39.119812,399030100.0,399030099.6479217,9,0.35207830800000006,26.300000023205417
2024-01-09,44.254066,399030100.0,399030099.6017134,9,0.39828659400000005,26.300000026250995
2024-01-10,49.422127,399030100.0,399030099.5552009,9,0.444799143,26.300000029316628
2024-01-11,54.537045,399030100.0,399030099.5091666,9,0.49083340499999994,26.300000032350738
2024-01-12,59.582798,399030100.0,399030099.46375483,9,0.536245182,26.30000003534382
2024-01-13,64.67916,399030100.0,399030099.41788757,9,0.58211244,26.30000003836692
2024-01-14,69.86462,399030100.0,399030099.37121844,9,0.6287815800000001,26.300000041442875
2024-01-15,74.98198,399030100.0,399030099.3251622,9,0.6748378199999999,26.300000044478438
2024-01-16,80.100174,399030100.0,399030099.27909845,9,0.720901566,26.300000047514487
2024-01-17,85.17303,399030100.0,399030099.2334427,9,0.7665572700000001,26.30000005052365
2024-01-18,90.28685,399030100.0,399030099.18741834,9,0.8125816499999999,26.300000053557106
2024-01-19,95.45636,399030100.0,399030099.14089274,9,0.85910724,26.3000000566236
2024-01-20,100.55974,399030100.0,399030099.09496236,9,0.9050376600000001,26.300000059650863
2024-01-21,105.67758,399030100.0,399030099.0489018,9,0.9510982200000001,26.300000062686706
2024-01-22,110.88602,399030100.0,399030099.00202584,9,0.99797418,26.300000065776292
2024-01-23,116.08718,399030100.0,399030098.9552154,9,1.0447846200000002,26.30000006886156
2024-01-24,121.25734,399030100.0,399030098.90868396,9,1.09131606,26.300000071928437
2024-01-25,126.36261,399030100.0,399030098.8627365,9,1.13726349,26.300000074956824
2024-01-26,131.48616,399030100.0,399030098.8166246,9,1.18337544,26.300000077996057
2024-01-27,136.82013,399030100.0,399030098.7686188,9,1.2313811700000001,26.300000081160107
2024-01-28,142.16925,399030100.0,399030098.72047675,9,1.27952325,26.300000084333142
2024-01-29,147.31827,399030100.0,399030098.67413557,9,1.32586443,26.30000008738748
2024-01-30,152.36557,399030100.0,399030098.62870985,9,1.3712901299999998,26.30000009038148
2024-01-31,157.41222,399030100.0,399030098.58329004,9,1.4167099799999998,26.30000009337509
2024-02-01,162.75038,399030100.0,399030098.53524655,9,1.46475342,26.30000009654163
2024-02-02,168.45053,399030100.0,399030098.48394525,9,1.51605477,26.300000099922887
2024-02-03,174.2174,399030100.0,399030098.4320434,9,1.5679566,26.30000010334373
2024-02-04,179.97618,399030100.0,399030098.3802144,9,1.61978562,26.30000010675977
2024-02-05,185.75133,399030100.0,399030098.328238,9,1.67176197,26.300000110185522
2024-02-06,191.67775,399030100.0,399030098.27490026,9,1.72509975,26.300000113701007
2024-02-07,197.60179,399030100.0,399030098.2215839,9,1.77841611,26.300000117215077
2024-02-08,203.53317,399030100.0,399030098.16820145,9,1.83179853,26.300000120733504
2024-02-09,209.49934,399030100.0,399030098.11450595,9,1.88549406,26.300000124272565
2024-02-10,215.48361,399030100.0,399030098.0606475,9,1.93935249,26.300000127822365
2024-02-11,221.49304,399030100.0,399030098.00656265,9,1.9934373600000002,26.300000131387087
2024-02-12,227.44006,399030100.0,399030097.95303947,9,2.0469605399999997,26.30000013491479
2024-02-13,233.48376,399030100.0,399030097.8986462,9,2.10135384,26.300000138499843
2024-02-14,239.67137,399030100.0,399030097.8429577,9,2.15704233,26.300000142170262
2024-02-15,245.86565,399030100.0,399030097.78720915,9,2.2127908499999998,26.300000145844635
2024-02-16,252.07225,399030100.0,399030097.73134977,9,2.2686502500000003,26.30000014952632
2024-02-17,258.33978,399030100.0,399030097.67494196,9,2.3250580200000006,26.300000153244145
2024-02-18,264.70834,399030100.0,399030097.61762494,9,2.38237506,26.3000001570219
2024-02-19,271.30988,399030100.0,399030097.5582111,9,2.44178892,26.300000160937856
2024-02-20,277.8901,399030100.0,399030097.4989891,9,2.5010109000000003,26.300000164841165
2024-02-21,284.46844,399030100.0,399030097.43978405,9,2.56021596,26.30000016874336
2024-02-22,291.0846,399030100.0,399030097.3802386,9,2.6197614000000002,26.30000017266799
2024-02-23,297.6972,399030100.0,399030097.3207252,9,2.6792748,26.30000017659051
2024-02-24,304.28766,399030100.0,399030097.2614111,9,2.73858894,26.30000018049989
2024-02-25,310.89304,399030100.0,399030097.20196265,9,2.79803736,26.300000184418124
2024-02-26,317.5449,399030100.0,399030097.1420959,9,2.8579041,26.30000018836393
2024-02-27,324.3383,399030100.0,399030097.0809553,9,2.9190446999999997,26.300000192393696
2024-02-28,331.20645,399030100.0,399030097.019142,9,2.98085805,26.300000196467803
2024-02-29,338.13794,399030100.0,399030096.95675856,9,3.0432414600000004,26.300000200579483
2024-03-01,345.3312,399030100.0,399030096.8920192,9,3.1079808000000004,26.30000020484644
2024-03-02,352.55173,399030100.0,399030096.8270344,9,3.17296557,26.300000209129575
2024-03-03,359.70346,399030100.0,399030096.76266885,9,3.23733114,26.3000002133719
2024-03-04,366.84143,399030100.0,399030096.69842714,9,3.3015728699999998,26.30000021760606
2024-03-05,374.11444,399030100.0,399030096.63297004,9,3.36702996,26.300000221920325
2024-03-06,381.34705,399030100.0,399030096.5678766,9,3.43212345,26.30000022621062
2024-03-07,388.71304,399030100.0,399030096.5015826,9,3.49841736,26.300000230580043
2024-03-08,396.15906,399030100.0,399030096.43456846,9,3.56543154,26.300000234996933
2024-03-09,403.60876,399030100.0,399030096.36752117,9,3.63247884,26.300000239416008
2024-03-10,411.1848,399030100.0,399030096.2993368,9,3.7006632,26.30000024391003
2024-03-11,418.6622,399030100.0,399030096.2320402,9,3.7679597999999994,26.300000248345533
2024-03-12,426.4052,399030100.0,399030096.1623532,9,3.8376468,26.30000025293859
2024-03-13,434.31207,399030100.0,399030096.09119135,9,3.90880863,26.300000257628856
2024-03-14,442.30026,399030100.0,399030096.01929766,9,3.9807023399999997,26.300000262367355
2024-03-15,450.29785,399030100.0,399030095.9473193,9,4.05268065,26.300000267111436
2024-03-16,458.34644,399030100.0,399030095.87488204,9,4.12511796,26.300000271885764
2024-03-17,466.41507,399030100.0,399030095.8022644,9,4.19773563,26.30000027667198
2024-03-18,474.54782,399030100.0,399030095.7290696,9,4.270930379999999,26.300000281496235
