Date,Evaporation,Volume,V2,SurfaceArea,EvapVol,C2 (wt%)
2025-01-27,136.82013,319476200.0,319476198.7686188,9,1.2313811700000001,26.30000010137007
2025-01-28,142.16925,319476200.0,319476198.72047675,9,1.27952325,26.300000105333236
2025-01-29,147.31827,319476200.0,319476198.67413557,9,1.32586443,26.300000109148147
2025-01-30,152.36557,319476200.0,319476198.62870985,9,1.3712901299999998,26.30000011288769
2025-01-31,157.41222,319476200.0,319476198.58329004,9,1.4167099799999998,26.300000116626755
2025-02-01,162.75038,319476200.0,319476198.53524655,9,1.46475342,26.300000120581803
2025-02-02,168.45053,319476200.0,319476198.48394525,9,1.51605477,26.30000012480504
2025-02-03,174.2174,319476200.0,319476198.4320434,9,1.5679566,26.30000012907772
2025-02-04,179.97618,319476200.0,319476198.3802144,9,1.61978562,26.300000133344398
2025-02-05,185.75133,319476200.0,319476198.328238,9,1.67176197,26.30000013762321
2025-02-06,191.67775,319476200.0,319476198.27490026,9,1.72509975,26.300000142014095
2025-02-07,197.60179,319476200.0,319476198.2215839,9,1.77841611,26.300000146403217
2025-02-08,203.53317,319476200.0,319476198.16820145,9,1.83179853,26.300000150797782
2025-02-09,209.49934,319476200.0,319476198.11450595,9,1.88549406,26.300000155218115
2025-02-10,215.48361,319476200.0,319476198.0606475,9,1.93935249,26.300000159651866
2025-02-11,221.49304,319476200.0,319476198.00656265,9,1.9934373600000002,26.30000016410425
2025-02-12,227.44006,319476200.0,319476197.95303947,9,2.0469605399999997,26.3000001685104
2025-02-13,233.48376,319476200.0,319476197.8986462,9,2.10135384,26.300000172988177
2025-02-14,239.67137,319476200.0,319476197.8429577,9,2.15704233,26.30000017757258
2025-02-15,245.86565,319476200.0,319476197.78720915,9,2.2127908499999998,26.300000182161924
2025-02-16,252.07225,319476200.0,319476197.73134977,9,2.2686502500000003,26.300000186760396
2025-02-17,258.33978,319476200.0,319476197.67494196,9,2.3250580200000006,26.300000191404013
2025-02-18,264.70834,319476200.0,319476197.61762494,9,2.38237506,26.30000019612248
2025-02-19,271.30988,319476200.0,319476197.5582111,9,2.44178892,26.30000020101356
2025-02-20,277.8901,319476200.0,319476197.4989891,9,2.5010109000000003,26.30000020588885
2025-02-21,284.46844,319476200.0,319476197.43978405,9,2.56021596,26.300000210762743
2025-02-22,291.0846,319476200.0,319476197.3802386,9,2.6197614000000002,26.30000021566466
2025-02-23,297.6972,319476200.0,319476197.3207252,9,2.6792748,26.300000220563934
2025-02-24,304.28766,319476200.0,319476197.2614111,9,2.73858894,26.30000022544681
2025-02-25,310.89304,319476200.0,319476197.20196265,9,2.79803736,26.300000230340736
2025-02-26,317.5449,319476200.0,319476197.1420959,9,2.8579041,26.3000002352691
2025-02-27,324.3383,319476200.0,319476197.0809553,9,2.9190446999999997,26.30000024030233
2025-02-28,331.20645,319476200.0,319476197.019142,9,2.98085805,26.300000245390947
2025-03-01,338.13794,319476200.0,319476196.95675856,9,3.0432414600000004,26.300000250526487
2025-03-02,345.3312,319476200.0,319476196.8920192,9,3.1079808000000004,26.300000255855977
2025-03-03,352.55173,319476200.0,319476196.8270344,9,3.17296557,26.30000026120567
2025-03-04,359.70346,319476200.0,319476196.76266885,9,3.23733114,26.30000026650439
2025-03-05,366.84143,319476200.0,319476196.69842714,9,3.3015728699999998,26.300000271792914
2025-03-06,374.11444,319476200.0,319476196.63297004,9,3.36702996,26.30000027718149
2025-03-07,381.34705,319476200.0,319476196.5678766,9,3.43212345,26.30000028254013
2025-03-08,388.71304,319476200.0,319476196.5015826,9,3.49841736,26.300000287997598
2025-03-09,396.15906,319476200.0,319476196.43456846,9,3.56543154,26.300000293514355
2025-03-10,403.60876,319476200.0,319476196.36752117,9,3.63247884,26.30000029903384
2025-03-11,411.1848,319476200.0,319476196.2993368,9,3.7006632,26.30000030464693
2025-03-12,418.6622,319476200.0,319476196.2320402,9,3.7679597999999994,26.300000310186935
2025-03-13,426.4052,319476200.0,319476196.1623532,9,3.8376468,26.300000315923725
2025-03-14,434.31207,319476200.0,319476196.09119135,9,3.90880863,26.30000032178193
2025-03-15,442.30026,319476200.0,319476196.01929766,9,3.9807023399999997,26.30000032770038
2025-03-16,450.29785,319476200.0,319476195.9473193,9,4.05268065,26.3000003336258
