Date,Evaporation,Volume,V2,SurfaceArea,EvapVol,C2 (wt%)
2025-01-01,5.3144603,558427300.0,558427299.9521699,9,0.0478301427,26.300000002252634
2025-01-02,10.366358,558427300.0,558427299.9067028,9,0.093297222,26.30000000439398
2025-01-03,15.096996,558427300.0,558427299.864127,9,0.13587296399999998,26.30000000639915
2025-01-04,19.745722,558427300.0,558427299.8222885,9,0.177711498,26.300000008369597
2025-01-05,24.292686,558427300.0,558427299.7813659,9,0.21863417400000001,26.300000010296912
2025-01-06,29.190449,558427300.0,558427299.737286,9,0.262714041,26.300000012372923
2025-01-07,34.117332,558427300.0,558427299.692944,9,0.30705598799999995,26.300000014461276
2025-01-08,39.119812,558427300.0,558427299.6479217,9,0.35207830800000006,26.300000016581674
2025-01-09,44.254066,558427300.0,558427299.6017134,9,0.39828659400000005,26.300000018757924
2025-01-10,49.422127,558427300.0,558427299.5552008,9,0.444799143,26.30000002094851
2025-01-11,54.537045,558427300.0,558427299.5091666,9,0.49083340499999994,26.30000002311656
2025-01-12,59.582798,558427300.0,558427299.4637548,9,0.536245182,26.3000000252553
2025-01-13,64.67916,558427300.0,558427299.4178876,9,0.58211244,26.30000002741549
2025-01-14,69.86462,558427300.0,558427299.3712184,9,0.6287815800000001,26.300000029613443
2025-01-15,74.98198,558427300.0,558427299.3251622,9,0.6748378199999999,26.300000031782535
2025-01-16,80.100174,558427300.0,558427299.2790984,9,0.720901566,26.300000033951978
2025-01-17,85.17303,558427300.0,558427299.2334428,9,0.7665572700000001,26.3000000361022
2025-01-18,90.28685,558427300.0,558427299.1874183,9,0.8125816499999999,26.300000038269793
2025-01-19,95.45636,558427300.0,558427299.1408927,9,0.85910724,26.30000004046099
2025-01-20,100.55974,558427300.0,558427299.0949624,9,0.9050376600000001,26.300000042624152
2025-01-21,105.67758,558427300.0,558427299.0489018,9,0.9510982200000001,26.300000044793446
2025-01-22,110.88602,558427300.0,558427299.0020258,9,0.99797418,26.30000004700114
2025-01-23,116.08718,558427300.0,558427298.9552153,9,1.0447846200000002,26.300000049205753
2025-01-24,121.25734,558427300.0,558427298.9086839,9,1.09131606,26.300000051397227
2025-01-25,126.36261,558427300.0,558427298.8627365,9,1.13726349,26.30000005356119
2025-01-26,131.48616,558427300.0,558427298.8166245,9,1.18337544,26.300000055732905
2025-01-27,136.82013,558427300.0,558427298.7686188,9,1.2313811700000001,26.300000057993806
2025-01-28,142.16925,558427300.0,558427298.7204767,9,1.27952325,26.300000060261134
2025-01-29,147.31827,558427300.0,558427298.6741356,9,1.32586443,26.300000062443644
2025-01-30,152.36557,558427300.0,558427298.6287099,9,1.3712901299999998,26.300000064583035
2025-01-31,157.41222,558427300.0,558427298.58329,9,1.4167099799999998,26.300000066722156
2025-02-01,162.75038,558427300.0,558427298.5352466,9,1.46475342,26.300000068984833
2025-02-02,168.45053,558427300.0,558427298.4839453,9,1.51605477,26.30000007140095
2025-02-03,174.2174,558427300.0,558427298.4320434,9,1.5679566,26.300000073845347
2025-02-04,179.97618,558427300.0,558427298.3802143,9,1.61978562,26.30000007628632
2025-02-05,185.75133,558427300.0,558427298.328238,9,1.67176197,26.300000078734225
2025-02-06,191.67775,558427300.0,558427298.2749002,9,1.72509975,26.300000081246253
2025-02-07,197.60179,558427300.0,558427298.2215838,9,1.77841611,26.30000008375727
2025-02-08,203.53317,558427300.0,558427298.1682014,9,1.83179853,26.300000086271396
2025-02-09,209.49934,558427300.0,558427298.1145059,9,1.88549406,26.30000008880027
2025-02-10,215.48361,558427300.0,558427298.0606475,9,1.93935249,26.300000091336816
2025-02-11,221.49304,558427300.0,558427298.0065626,9,1.9934373600000002,26.300000093884027
2025-02-12,227.44006,558427300.0,558427297.9530394,9,2.0469605399999997,26.300000096404784
2025-02-13,233.48376,558427300.0,558427297.8986461,9,2.10135384,26.30000009896652
2025-02-14,239.67137,558427300.0,558427297.8429576,9,2.15704233,26.30000010158926
2025-02-15,245.86565,558427300.0,558427297.7872092,9,2.2127908499999998,26.300000104214817
2025-02-16,252.07225,558427300.0,558427297.7313497,9,2.2686502500000003,26.300000106845605
2025-02-17,258.33978,558427300.0,558427297.674942,9,2.3250580200000006,26.300000109502214
2025-02-18,264.70834,558427300.0,558427297.617625,9,2.38237506,26.300000112201648
2025-02-19,271.30988,558427300.0,558427297.5582111,9,2.44178892,26.300000114999836
2025-02-20,277.8901,558427300.0,558427297.4989891,9,2.5010109000000003,26.30000011778899
2025-02-21,284.46844,558427300.0,558427297.439784,9,2.56021596,26.30000012057734
