Date,Evaporation,Volume,V2,SurfaceArea,EvapVol,C2 (wt%)
2025-01-03,15.096996,584994615.9,584994615.764127,9,0.13587296399999998,26.300000006108533
2025-01-04,19.745722,584994615.9,584994615.7222885,9,0.177711498,26.300000007989496
2025-01-05,24.292686,584994615.9,584994615.6813658,9,0.21863417400000001,26.300000009829283
2025-01-06,29.190449,584994615.9,584994615.637286,9,0.262714041,26.300000011811015
2025-01-07,34.117332,584994615.9,584994615.592944,9,0.30705598799999995,26.300000013804524
2025-01-08,39.119812,584994615.9,584994615.5479217,9,0.35207830800000006,26.300000015828626
2025-01-09,44.254066,584994615.9,584994615.5017134,9,0.39828659400000005,26.30000001790604
2025-01-10,49.422127,584994615.9,584994615.4552008,9,0.444799143,26.30000001999714
2025-01-11,54.537045,584994615.9,584994615.4091666,9,0.49083340499999994,26.300000022066733
2025-01-12,59.582798,584994615.9,584994615.3637547,9,0.536245182,26.300000024108343
2025-01-13,64.67916,584994615.9,584994615.3178875,9,0.58211244,26.300000026170427
2025-01-14,69.86462,584994615.9,584994615.2712184,9,0.6287815800000001,26.30000002826856
2025-01-15,74.98198,584994615.9,584994615.2251621,9,0.6748378199999999,26.300000030339145
2025-01-16,80.100174,584994615.9,584994615.1790984,9,0.720901566,26.300000032410065
2025-01-17,85.17303,584994615.9,584994615.1334428,9,0.7665572700000001,26.300000034462634
2025-01-18,90.28685,584994615.9,584994615.0874183,9,0.8125816499999999,26.300000036531788
2025-01-19,95.45636,584994615.9,584994615.0408927,9,0.85910724,26.30000003862347
2025-01-20,100.55974,584994615.9,584994614.9949623,9,0.9050376600000001,26.300000040688392
2025-01-21,105.67758,584994615.9,584994614.9489018,9,0.9510982200000001,26.30000004275917
2025-01-22,110.88602,584994615.9,584994614.9020258,9,0.99797418,26.300000044866604
2025-01-23,116.08718,584994615.9,584994614.8552153,9,1.0447846200000002,26.300000046971096
2025-01-24,121.25734,584994615.9,584994614.8086839,9,1.09131606,26.30000004906304
2025-01-25,126.36261,584994615.9,584994614.7627364,9,1.13726349,26.30000005112873
2025-01-26,131.48616,584994615.9,584994614.7166245,9,1.18337544,26.300000053201817
2025-01-27,136.82013,584994615.9,584994614.6686188,9,1.2313811700000001,26.30000005536004
2025-01-28,142.16925,584994615.9,584994614.6204767,9,1.27952325,26.300000057524397
2025-01-29,147.31827,584994615.9,584994614.5741355,9,1.32586443,26.30000005960779
2025-01-30,152.36557,584994615.9,584994614.5287099,9,1.3712901299999998,26.30000006165002
2025-01-31,157.41222,584994615.9,584994614.48329,9,1.4167099799999998,26.300000063691996
2025-02-01,162.75038,584994615.9,584994614.4352466,9,1.46475342,26.300000065851915
2025-02-02,168.45053,584994615.9,584994614.3839452,9,1.51605477,26.300000068158305
2025-02-03,174.2174,584994615.9,584994614.3320434,9,1.5679566,26.300000070491688
2025-02-04,179.97618,584994615.9,584994614.2802143,9,1.61978562,26.300000072821806
2025-02-05,185.75133,584994615.9,584994614.228238,9,1.67176197,26.30000007515854
2025-02-06,191.67775,584994615.9,584994614.1749002,9,1.72509975,26.300000077556483
2025-02-07,197.60179,584994615.9,584994614.1215838,9,1.77841611,26.300000079953463
2025-02-08,203.53317,584994615.9,584994614.0682014,9,1.83179853,26.300000082353414
2025-02-09,209.49934,584994615.9,584994614.0145059,9,1.88549406,26.30000008476744
2025-02-10,215.48361,584994615.9,584994613.9606475,9,1.93935249,26.30000008718879
2025-02-11,221.49304,584994615.9,584994613.9065626,9,1.9934373600000002,26.30000008962032
2025-02-12,227.44006,584994615.9,584994613.8530394,9,2.0469605399999997,26.300000092026597
2025-02-13,233.48376,584994615.9,584994613.7986461,9,2.10135384,26.300000094471994
2025-02-14,239.67137,584994615.9,584994613.7429576,9,2.15704233,26.30000009697562
2025-02-15,245.86565,584994615.9,584994613.6872091,9,2.2127908499999998,26.30000009948194
2025-02-16,252.07225,584994615.9,584994613.6313497,9,2.2686502500000003,26.300000101993252
2025-02-17,258.33978,584994615.9,584994613.574942,9,2.3250580200000006,26.30000010452921
2025-02-18,264.70834,584994615.9,584994613.517625,9,2.38237506,26.30000010710605
2025-02-19,271.30988,584994615.9,584994613.4582111,9,2.44178892,26.300000109777162
2025-02-20,277.8901,584994615.9,584994613.3989891,9,2.5010109000000003,26.300000112439648
2025-02-21,284.46844,584994615.9,584994613.339784,9,2.56021596,26.30000011510137
2025-02-22,291.0846,584994615.9,584994613.2802386,9,2.6197614000000002,26.300000117778392
2025-02-23,297.6972,584994615.9,584994613.2207252,9,2.6792748,26.300000120453976
2025-02-24,304.28766,584994615.9,584994613.161411,9,2.73858894,26.300000123120604
2025-02-25,310.89304,584994615.9,584994613.1019626,9,2.79803736,26.300000125793268
2025-02-26,317.5449,584994615.9,584994613.0420959,9,2.8579041,26.300000128484736
2025-02-27,324.3383,584994615.9,584994612.9809552,9,2.9190446999999997,26.300000131233478
2025-02-28,331.20645,584994615.9,584994612.9191419,9,2.98085805,26.30000013401246
2025-03-01,338.13794,584994615.9,584994612.8567585,9,3.0432414600000004,26.300000136817076
2025-03-02,345.3312,584994615.9,584994612.7920191,9,3.1079808000000004,26.300000139727608
2025-03-03,352.55173,584994615.9,584994612.7270344,9,3.17296557,26.300000142649168
2025-03-04,359.70346,584994615.9,584994612.6626688,9,3.23733114,26.300000145542896
2025-03-05,366.84143,584994615.9,584994612.598427,9,3.3015728699999998,26.300000148431057
2025-03-06,374.11444,584994615.9,584994612.5329701,9,3.36702996,26.30000015137385
2025-03-07,381.34705,584994615.9,584994612.4678766,9,3.43212345,26.300000154300303
2025-03-08,388.71304,584994615.9,584994612.4015826,9,3.49841736,26.300000157280728
2025-03-09,396.15906,584994615.9,584994612.3345684,9,3.56543154,26.300000160293532
2025-03-10,403.60876,584994615.9,584994612.2675211,9,3.63247884,26.300000163307818
2025-03-11,411.1848,584994615.9,584994612.1993368,9,3.7006632,26.30000016637323
2025-03-12,418.6622,584994615.9,584994612.1320401,9,3.7679597999999994,26.30000016939873
2025-03-13,426.4052,584994615.9,584994612.0623531,9,3.8376468,26.300000172531696
2025-03-14,434.31207,584994615.9,584994611.9911914,9,3.90880863,26.300000175730965
2025-03-15,442.30026,584994615.9,584994611.9192977,9,3.9807023399999997,26.30000017896314
2025-03-16,450.29785,584994615.9,584994611.8473194,9,4.05268065,26.300000182199117
2025-03-17,458.34644,584994615.9,584994611.774882,9,4.12511796,26.300000185455733
2025-03-18,466.41507,584994615.9,584994611.7022643,9,4.19773563,26.300000188720453
2025-03-19,474.54782,584994615.9,584994611.6290696,9,4.270930379999999,26.30000019201112
2025-03-20,482.7493,584994615.9,584994611.5552562,9,4.3447437,26.300000195329595
2025-03-21,490.87448,584994615.9,584994611.4821297,9,4.41787032,26.300000198617195
2025-03-22,498.98114,584994615.9,584994611.4091697,9,4.49083026,26.30000020189731
2025-03-23,507.14124,584994615.9,584994611.3357288,9,4.5642711600000005,26.30000020519904
2025-03-24,515.256,584994615.9,584994611.262696,9,4.637304,26.300000208482423
2025-03-25,523.36084,584994615.9,584994611.1897525,9,4.710247560000001,26.300000211761798
2025-03-26,531.60315,584994615.9,584994611.1155716,9,4.78442835,26.300000215096794
2025-03-27,540.0945,584994615.9,584994611.0391495,9,4.860850500000001,26.300000218532556
2025-03-28,548.7497,584994615.9,584994610.9612527,9,4.9387473,26.300000222034615
2025-03-29,557.3251,584994615.9,584994610.8840741,9,5.0159259,26.300000225504387
2025-03-30,565.72864,584994615.9,584994610.8084422,9,5.091557760000001,26.30000022890462
2025-03-31,573.9824,584994615.9,584994610.7341584,9,5.165841599999999,26.300000232244248
2025-04-01,582.5889,584994615.9,584994610.6566999,9,5.2433001,26.300000235726603
2025-04-02,591.3595,584994615.9,584994610.5777645,9,5.322235500000001,26.300000239275356
2025-04-03,600.11884,584994615.9,584994610.4989305,9,5.40106956,26.30000024281955
2025-04-04,608.9495,584994615.9,584994610.4194545,9,5.480545499999999,26.300000246392607
2025-04-05,617.8237,584994615.9,584994610.3395867,9,5.5604133000000004,26.300000249983277
2025-04-06,626.74536,584994615.9,584994610.2592918,9,5.64070824,26.30000025359315
2025-04-07,635.6731,584994615.9,584994610.1789421,9,5.7210579,26.300000257205486
2025-04-08,644.62286,584994615.9,584994610.0983943,9,5.801605739999999,26.300000260826728
2025-04-09,653.5672,584994615.9,584994610.0178952,9,5.8821048,26.300000264445778
2025-04-10,662.5107,584994615.9,584994609.9374037,9,5.9625963,26.300000268064494
2025-04-11,671.5058,584994615.9,584994609.8564478,9,6.0435522,26.300000271704082
2025-04-12,680.53595,584994615.9,584994609.7751764,9,6.1248235499999995,26.300000275357853
2025-04-13,689.6378,584994615.9,584994609.6932598,9,6.2067402000000005,26.300000279040635
2025-04-14,698.7989,584994615.9,584994609.6108099,9,6.2891901,26.30000028274739
