Date,Saturation_vapour,Actual_vapour,Solar-Irradiance,Slope,Psychrometric constant,Radiation-Based_evaporation,Aerodynamics_evaporation,Evaporation,wind_speed,Day,Month,Year,Month_sin,Month_cos,dayofyear,trend,dayofyear_sin,dayofyear_cos,month_sin,month_cos,rolling_mean_14,rolling_std_14,rolling_mean_30,rolling_std_30,rolling_mean_60,rolling_std_60,cumulative_mean,cumulative_std,lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,lag_8,lag_9,lag_10,lag_11,lag_12,lag_13,lag_14,lag_15,lag_16,lag_17,lag_18,lag_19,lag_20,lag_21,lag_22,lag_23,lag_24,lag_25,lag_26,lag_27,lag_28,lag_29,lag_30,lag_31,lag_32,lag_33,lag_34,lag_35,lag_36,lag_37,lag_38,lag_39,lag_40,lag_41,lag_42,lag_43,lag_44,lag_45,lag_46,lag_47,lag_48,lag_49,lag_50,lag_51,lag_52,lag_53,lag_54,lag_55,lag_56,lag_57,lag_58,lag_59,lag_60
2018-11-11,3.569784254,2.165259536,176.069167,209.4199982,66.91046941,6.245963367,3.852195448,5.666338049,2.607775219,11,11,2018,-0.5000000000000004,0.8660254037844384,315,70,-0.7583058084785625,0.6518989958787125,-0.5000000000000004,0.8660254037844384,6.401359940857143,0.705461295006076,7.001757742,0.7907388337205101,7.855147301216666,1.0900367441972172,8.084813095478873,1.1390002145227485,5.588150683,5.434587845,5.642284024,5.891337623,7.094678101,7.009720288,7.086318258,6.511890668,6.264754344,5.879993779,7.110820088,7.08886427,7.349301152,7.335354888,7.665970423,7.326026548,7.02615433,6.913883902,7.03669529,7.360579448,7.416305297,7.244664014,7.970344993,7.881645321,7.749922934,7.612301022,7.67486955,7.97264251,8.246332618,8.421183673,8.272298628,7.983853357,7.860145665,7.817786308,8.257628225,8.201106028,7.974075155,7.59379916,8.132108733,8.500966926,8.83051389,8.875067231,8.817172663,8.845652485,8.835893521,8.887494321,9.120153481,9.064549738,9.083251986,9.046048233,9.192020383,9.198312773,9.173773197,9.160624154,9.365216122,9.378991497,8.974091852,8.777405725,9.614920703,9.365685012
2018-11-12,3.586425715,2.275271403,175.2472489,210.2680757,66.91558011,6.217281087,4.068677939,5.698581578,2.95046681,12,11,2018,-0.5000000000000004,0.8660254037844384,316,71,-0.7469720876965551,0.6648553979642866,-0.5000000000000004,0.8660254037844384,6.283451399857143,0.6719921161807535,6.916832707333333,0.7892751549956727,7.789874982466667,1.100084518136189,8.051670991069445,1.1653901016984831,5.666338049,5.588150683,5.434587845,5.642284024,5.891337623,7.094678101,7.009720288,7.086318258,6.511890668,6.264754344,5.879993779,7.110820088,7.08886427,7.349301152,7.335354888,7.665970423,7.326026548,7.02615433,6.913883902,7.03669529,7.360579448,7.416305297,7.244664014,7.970344993,7.881645321,7.749922934,7.612301022,7.67486955,7.97264251,8.246332618,8.421183673,8.272298628,7.983853357,7.860145665,7.817786308,8.257628225,8.201106028,7.974075155,7.59379916,8.132108733,8.500966926,8.83051389,8.875067231,8.817172663,8.845652485,8.835893521,8.887494321,9.120153481,9.064549738,9.083251986,9.046048233,9.192020383,9.198312773,9.173773197,9.160624154,9.365216122,9.378991497,8.974091852,8.777405725,9.614920703
2018-12-01,3.022383233,1.159304629,161.8030748,181.1891054,66.73000357,5.724400077,3.121274359,5.023741748,1.592912767,1,12,2018,-2.4492935982947064e-16,1.0,335,72,-0.49377555015997737,0.8695893893466109,-2.4492935982947064e-16,1.0,6.135942648285714,0.7073248152367508,6.818536015266668,0.8355236782231559,7.727313916183333,1.148635253268609,8.010192508287671,1.2103160854296084,5.698581578,5.666338049,5.588150683,5.434587845,5.642284024,5.891337623,7.094678101,7.009720288,7.086318258,6.511890668,6.264754344,5.879993779,7.110820088,7.08886427,7.349301152,7.335354888,7.665970423,7.326026548,7.02615433,6.913883902,7.03669529,7.360579448,7.416305297,7.244664014,7.970344993,7.881645321,7.749922934,7.612301022,7.67486955,7.97264251,8.246332618,8.421183673,8.272298628,7.983853357,7.860145665,7.817786308,8.257628225,8.201106028,7.974075155,7.59379916,8.132108733,8.500966926,8.83051389,8.875067231,8.817172663,8.845652485,8.835893521,8.887494321,9.120153481,9.064549738,9.083251986,9.046048233,9.192020383,9.198312773,9.173773197,9.160624154,9.365216122,9.378991497,8.974091852,8.777405725
2018-12-02,3.004561252,1.292486726,161.4147328,180.2583672,66.72367827,5.710119694,1.514940634,4.576766954,0.841325739,2,12,2018,-2.4492935982947064e-16,1.0,336,73,-0.4787338401157883,0.8779600847008883,-2.4492935982947064e-16,1.0,5.954938853000001,0.7608688714339845,6.715265928733333,0.9138243769897517,7.654025167883333,1.2065613715808703,7.9637948656621615,1.2665311817314648,5.023741748,5.698581578,5.666338049,5.588150683,5.434587845,5.642284024,5.891337623,7.094678101,7.009720288,7.086318258,6.511890668,6.264754344,5.879993779,7.110820088,7.08886427,7.349301152,7.335354888,7.665970423,7.326026548,7.02615433,6.913883902,7.03669529,7.360579448,7.416305297,7.244664014,7.970344993,7.881645321,7.749922934,7.612301022,7.67486955,7.97264251,8.246332618,8.421183673,8.272298628,7.983853357,7.860145665,7.817786308,8.257628225,8.201106028,7.974075155,7.59379916,8.132108733,8.500966926,8.83051389,8.875067231,8.817172663,8.845652485,8.835893521,8.887494321,9.120153481,9.064549738,9.083251986,9.046048233,9.192020383,9.198312773,9.173773197,9.160624154,9.365216122,9.378991497,8.974091852
2018-12-03,3.002177602,1.237795057,160.9340723,180.1338239,66.72282988,5.693043723,5.148169589,5.545769815,2.774286567,3,12,2018,-2.4492935982947064e-16,1.0,337,74,-0.4635502709028512,0.8860706215341378,-2.4492935982947064e-16,1.0,5.931065712714286,0.7686052440665337,6.646381555166667,0.9217276181784723,7.59013813985,1.2151303823144401,7.931554531653332,1.2885581577353942,4.576766954,5.023741748,5.698581578,5.666338049,5.588150683,5.434587845,5.642284024,5.891337623,7.094678101,7.009720288,7.086318258,6.511890668,6.264754344,5.879993779,7.110820088,7.08886427,7.349301152,7.335354888,7.665970423,7.326026548,7.02615433,6.913883902,7.03669529,7.360579448,7.416305297,7.244664014,7.970344993,7.881645321,7.749922934,7.612301022,7.67486955,7.97264251,8.246332618,8.421183673,8.272298628,7.983853357,7.860145665,7.817786308,8.257628225,8.201106028,7.974075155,7.59379916,8.132108733,8.500966926,8.83051389,8.875067231,8.817172663,8.845652485,8.835893521,8.887494321,9.120153481,9.064549738,9.083251986,9.046048233,9.192020383,9.198312773,9.173773197,9.160624154,9.365216122,9.378991497
2018-12-04,2.953484582,1.086032142,160.4142041,177.5865863,66.70537338,5.673168757,6.924242992,6.014782022,3.52544527,4,12,2018,-2.4492935982947064e-16,1.0,338,75,-0.4482293417404106,0.893918596519257,-2.4492935982947064e-16,1.0,5.913210546857143,0.7631412459346801,6.588543524766666,0.9043692700928183,7.5342975715166665,1.2091440019273823,7.906333840736842,1.298686268713403,5.545769815,4.576766954,5.023741748,5.698581578,5.666338049,5.588150683,5.434587845,5.642284024,5.891337623,7.094678101,7.009720288,7.086318258,6.511890668,6.264754344,5.879993779,7.110820088,7.08886427,7.349301152,7.335354888,7.665970423,7.326026548,7.02615433,6.913883902,7.03669529,7.360579448,7.416305297,7.244664014,7.970344993,7.881645321,7.749922934,7.612301022,7.67486955,7.97264251,8.246332618,8.421183673,8.272298628,7.983853357,7.860145665,7.817786308,8.257628225,8.201106028,7.974075155,7.59379916,8.132108733,8.500966926,8.83051389,8.875067231,8.817172663,8.845652485,8.835893521,8.887494321,9.120153481,9.064549738,9.083251986,9.046048233,9.192020383,9.198312773,9.173773197,9.160624154,9.365216122
2018-12-05,2.926096418,1.073843921,160.0079139,176.1512494,66.69544772,5.657957986,4.480614588,5.334612245,2.300004186,5,12,2018,-2.4492935982947064e-16,1.0,339,76,-0.4327755925504317,0.9015016841318838,-2.4492935982947064e-16,1.0,5.829119230928571,0.7569350399860824,6.503642422233335,0.8983243981795038,7.470530706366666,1.2227326191894123,7.872934858974026,1.3229841215389577,6.014782022,5.545769815,4.576766954,5.023741748,5.698581578,5.666338049,5.588150683,5.434587845,5.642284024,5.891337623,7.094678101,7.009720288,7.086318258,6.511890668,6.264754344,5.879993779,7.110820088,7.08886427,7.349301152,7.335354888,7.665970423,7.326026548,7.02615433,6.913883902,7.03669529,7.360579448,7.416305297,7.244664014,7.970344993,7.881645321,7.749922934,7.612301022,7.67486955,7.97264251,8.246332618,8.421183673,8.272298628,7.983853357,7.860145665,7.817786308,8.257628225,8.201106028,7.974075155,7.59379916,8.132108733,8.500966926,8.83051389,8.875067231,8.817172663,8.845652485,8.835893521,8.887494321,9.120153481,9.064549738,9.083251986,9.046048233,9.192020383,9.198312773,9.173773197,9.160624154
2018-12-06,2.935347303,1.299640261,159.7775055,176.6362736,66.69880904,5.650095369,1.708858792,4.569791687,0.993326177,6,12,2018,-2.4492935982947064e-16,1.0,340,77,-0.41719360261231697,0.9088176373395028,-2.4492935982947064e-16,1.0,5.649367333000001,0.733870904271232,6.390290645366666,0.9211259691845018,7.3937976812,1.2579873815167177,7.830586869589743,1.3665421537623967,5.334612245,6.014782022,5.545769815,4.576766954,5.023741748,5.698581578,5.666338049,5.588150683,5.434587845,5.642284024,5.891337623,7.094678101,7.009720288,7.086318258,6.511890668,6.264754344,5.879993779,7.110820088,7.08886427,7.349301152,7.335354888,7.665970423,7.326026548,7.02615433,6.913883902,7.03669529,7.360579448,7.416305297,7.244664014,7.970344993,7.881645321,7.749922934,7.612301022,7.67486955,7.97264251,8.246332618,8.421183673,8.272298628,7.983853357,7.860145665,7.817786308,8.257628225,8.201106028,7.974075155,7.59379916,8.132108733,8.500966926,8.83051389,8.875067231,8.817172663,8.845652485,8.835893521,8.887494321,9.120153481,9.064549738,9.083251986,9.046048233,9.192020383,9.198312773,9.173773197
2018-12-07,2.920779162,1.222423484,159.3817211,175.8723677,66.69351163,5.635651904,4.070477807,5.205307137,2.278809234,7,12,2018,-2.4492935982947064e-16,1.0,341,78,-0.4014879892059737,0.9158642882672868,-2.4492935982947064e-16,1.0,5.520480679357142,0.6272914349339329,6.3223120828,0.931097202138771,7.327247587266666,1.2664971318671057,7.797355480569621,1.3895098575461737,4.569791687,5.334612245,6.014782022,5.545769815,4.576766954,5.023741748,5.698581578,5.666338049,5.588150683,5.434587845,5.642284024,5.891337623,7.094678101,7.009720288,7.086318258,6.511890668,6.264754344,5.879993779,7.110820088,7.08886427,7.349301152,7.335354888,7.665970423,7.326026548,7.02615433,6.913883902,7.03669529,7.360579448,7.416305297,7.244664014,7.970344993,7.881645321,7.749922934,7.612301022,7.67486955,7.97264251,8.246332618,8.421183673,8.272298628,7.983853357,7.860145665,7.817786308,8.257628225,8.201106028,7.974075155,7.59379916,8.132108733,8.500966926,8.83051389,8.875067231,8.817172663,8.845652485,8.835893521,8.887494321,9.120153481,9.064549738,9.083251986,9.046048233,9.192020383,9.198312773
2018-12-08,2.929335629,1.421291953,159.1778087,176.3211059,66.69662571,5.628704474,3.29898192,4.989308196,2.079970822,8,12,2018,-2.4492935982947064e-16,1.0,342,79,-0.38566340624360745,0.9226395488404875,-2.4492935982947064e-16,1.0,5.3700971147142855,0.447459730031843,6.241412179433334,0.9381760068245226,7.25720238415,1.2777833514768855,7.7622548895125,1.4159315119762346,5.205307137,4.569791687,5.334612245,6.014782022,5.545769815,4.576766954,5.023741748,5.698581578,5.666338049,5.588150683,5.434587845,5.642284024,5.891337623,7.094678101,7.009720288,7.086318258,6.511890668,6.264754344,5.879993779,7.110820088,7.08886427,7.349301152,7.335354888,7.665970423,7.326026548,7.02615433,6.913883902,7.03669529,7.360579448,7.416305297,7.244664014,7.970344993,7.881645321,7.749922934,7.612301022,7.67486955,7.97264251,8.246332618,8.421183673,8.272298628,7.983853357,7.860145665,7.817786308,8.257628225,8.201106028,7.974075155,7.59379916,8.132108733,8.500966926,8.83051389,8.875067231,8.817172663,8.845652485,8.835893521,8.887494321,9.120153481,9.064549738,9.083251986,9.046048233,9.192020383
