Date,Saturation_vapour,Actual_vapour,Solar-Irradiance,Slope,Psychrometric constant,Radiation-Based_evaporation,Aerodynamics_evaporation,Evaporation,wind_speed
14-02-2018,2.621931686,1.08683347,193.4815188,160.0788211,66.57959007,6.829716496,6.838933342,6.832423891,4.235877877
15-02-2018,2.652095806,1.134104213,194.6381994,161.6839675,66.59157268,6.871782746,4.111203953,6.066478405,2.57508093
16-02-2018,2.734364659,1.297389045,195.8783497,166.048915,66.62367806,6.918900891,3.482706277,5.934977857,2.304404304
17-02-2018,2.762943818,1.747543185,197.2860643,167.5609092,66.63464019,6.969771394,3.067300214,5.859418257,2.872169606
18-02-2018,2.871364461,1.963604856,198.5461357,173.277199,66.67537527,7.018575433,2.97403553,5.894723285,3.115060795
19-02-2018,2.967858851,2.058074244,199.7432112,178.3391485,66.71055168,7.064616989,2.221013381,5.7460295,2.321153265
20-02-2018,2.977882544,1.898395461,200.8114354,178.8636324,66.71415018,7.102781586,3.619391959,6.156477013,3.187934533
21-02-2018,2.997134178,1.777605827,201.9017565,179.8702641,66.72103294,7.142083435,4.393641676,6.398428345,3.425499913
22-02-2018,2.981343625,2.006170288,203.1845941,179.0446734,66.71539033,7.186854763,3.602574652,6.213846199,3.512549049
23-02-2018,3.032349766,2.091344538,204.3911901,181.7092606,66.73352714,7.231498693,4.012768138,6.366924419,4.054555569
24-02-2018,3.068379656,2.088364863,205.5544065,183.5876554,66.74618423,7.274033436,3.558301551,6.283312704,3.452242905
25-02-2018,3.08754292,1.601821933,206.4549278,184.5854453,66.75286518,7.30663181,6.701807809,7.145996788,4.288900173
26-02-2018,3.082535398,1.478570412,207.5487852,184.3247993,66.75112278,7.34515271,5.729273704,6.915554615,3.396220769
27-02-2018,3.15154631,1.511338049,208.7365222,187.9116369,66.77492841,7.389821212,4.607616741,6.660369683,2.670967351
28-02-2018,3.266821165,1.503855565,209.8997873,193.8783297,66.81373044,7.435321858,4.409326118,6.659778239,2.378042487
01-03-2018,3.2455531,1.547515418,210.8488023,192.7797663,66.80665927,7.468148548,6.842694823,7.30718299,3.831519805
02-03-2018,3.206393461,1.57996691,212.0365424,190.7543592,66.79353677,7.508742472,6.89604679,7.349843439,4.031410021
03-03-2018,3.155398019,1.905606525,213.4089218,188.1114987,66.77624408,7.55538529,6.40652781,7.254404213,4.873897348
04-03-2018,3.216004296,1.980835275,214.6161183,191.2517732,66.79676984,7.600459552,5.448622271,7.043448929,4.194223193
05-03-2018,3.315332427,1.607257509,215.5392182,196.3802925,66.82971538,7.636915188,4.20878803,6.766504658,2.342833174
06-03-2018,3.280148908,1.12952328,216.3485968,194.5662308,66.81814188,7.66426532,7.079686776,7.51482849,3.12997201
07-03-2018,3.327062029,1.087098069,217.465879,196.9844593,66.83355081,7.705622204,5.2962169,7.095242678,2.248101725
08-03-2018,3.408251287,1.502572285,218.9217033,201.1580783,66.85979077,7.760253028,5.871041418,7.288969925,2.92925124
09-03-2018,3.373785816,1.760759652,220.2340935,199.3880985,66.8487167,7.805481107,6.610239777,7.505371037,3.896431344
10-03-2018,3.311526321,1.869903154,221.4386163,196.1841826,66.82846838,7.845794334,6.946791328,7.617368083,4.581669177
11-03-2018,3.355645364,1.734918275,222.4838867,198.4554565,66.8428497,7.884525666,7.293215578,7.735542991,4.278587191
12-03-2018,3.342375995,1.782262473,223.6375847,197.7727922,66.83854116,7.924900303,6.756695046,7.629821728,4.117838825
13-03-2018,3.219749286,1.84982052,224.7964379,191.4455399,66.79802745,7.961137375,7.956402976,7.959912761,5.52217306
14-03-2018,3.195723884,2.111341955,226.062374,190.2019011,66.78993796,8.005000802,7.485456669,7.869975813,6.56337557
15-03-2018,3.324327246,1.937745745,227.0605273,196.8436236,66.83265759,8.045488634,7.77483024,7.976886256,5.331344423
16-03-2018,3.41495772,1.76326462,228.0449984,201.5021903,66.86193464,8.083911316,6.717935826,7.743583547,3.867209706
17-03-2018,3.43050425,1.745186724,229.1173726,202.2995229,66.86689085,8.122527683,6.320807086,7.674940435,3.566005637
18-03-2018,3.337182172,1.752648611,230.1967712,197.5054823,66.83685081,8.157127653,6.993548095,7.862925841,4.196501188
19-03-2018,3.323606481,2.024653229,231.428849,196.806503,66.83242207,8.200243498,6.075259769,7.661560489,4.446953189
20-03-2018,3.255194742,2.12866769,232.5446692,193.2779145,66.80986973,8.237000028,6.824436075,7.874148639,5.759918944
21-03-2018,3.366363565,1.946095886,233.4811966,199.0065904,66.84631941,8.274684838,6.758073614,7.893346608,4.524222351
